Iteration: 446, gbestFitness: 995873, vehicles: 95
Iteration: 447, gbestFitness: 995873, vehicles: 95
Iteration: 448, gbestFitness: 995873, vehicles: 95
Iteration: 449, gbestFitness: 995873, vehicles: 95
Iteration: 450, gbestFitness: 995873, vehicles: 95
Iteration: 451, gbestFitness: 995873, vehicles: 95
Iteration: 452, gbestFitness: 995873, vehicles: 95
Iteration: 453, gbestFitness: 995873, vehicles: 95
Iteration: 454, gbestFitness: 995873, vehicles: 95
Iteration: 455, gbestFitness: 995873, vehicles: 95
Iteration: 456, gbestFitness: 995873, vehicles: 95
Iteration: 457, gbestFitness: 995873, vehicles: 95
Iteration: 458, gbestFitness: 995873, vehicles: 95
Iteration: 459, gbestFitness: 995873, vehicles: 95
Iteration: 460, gbestFitness: 995873, vehicles: 95
Iteration: 461, gbestFitness: 995873, vehicles: 95
Iteration: 462, gbestFitness: 995873, vehicles: 95
Iteration: 463, gbestFitness: 995873, vehicles: 95
Iteration: 464, gbestFitness: 995873, vehicles: 95
Iteration: 465, gbestFitness: 995873, vehicles: 95
Iteration: 466, gbestFitness: 995873, vehicles: 95
Iteration: 467, gbestFitness: 995873, vehicles: 95
Iteration: 468, gbestFitness: 995873, vehicles: 95
Iteration: 469, gbestFitness: 995873, vehicles: 95
Iteration: 470, gbestFitness: 995873, vehicles: 95
Iteration: 471, gbestFitness: 995873, vehicles: 95
Iteration: 472, gbestFitness: 995873, vehicles: 95
Iteration: 473, gbestFitness: 995873, vehicles: 95
Iteration: 474, gbestFitness: 995873, vehicles: 95
Iteration: 475, gbestFitness: 995873, vehicles: 95
Iteration: 476, gbestFitness: 995873, vehicles: 95
Iteration: 477, gbestFitness: 995873, vehicles: 95
Iteration: 478, gbestFitness: 995873, vehicles: 95
Iteration: 479, gbestFitness: 995873, vehicles: 95
Iteration: 480, gbestFitness: 995873, vehicles: 95
Iteration: 481, gbestFitness: 995873, vehicles: 95
Iteration: 482, gbestFitness: 995873, vehicles: 95
Iteration: 483, gbestFitness: 995873, vehicles: 95
Iteration: 484, gbestFitness: 995873, vehicles: 95
Iteration: 485, gbestFitness: 995873, vehicles: 95
Iteration: 486, gbestFitness: 995873, vehicles: 95
Iteration: 487, gbestFitness: 995873, vehicles: 95
Iteration: 488, gbestFitness: 995873, vehicles: 95
Iteration: 489, gbestFitness: 995873, vehicles: 95
